date,sp500,dividends,earnings,cape
1999-06-01,1322.55,16.45,41.02,42.180675911746924
1999-07-01,1380.99,16.513333333333335,42.0,43.828035992805404
1999-08-01,1327.49,16.576666666666668,42.98,41.93071215994045
1999-09-01,1318.17,16.64,43.96,41.32345133471502
1999-10-01,1300.01,16.656666666666666,45.36333333333334,40.552854399539875
1999-11-01,1391.0,16.673333333333332,46.76666666666667,43.20829071461391
1999-12-01,1428.68,16.69,48.17,44.197939761040566
2000-01-01,1425.59,16.713333333333335,49.09666666666667,43.772578146937995
2000-02-01,1388.87,16.736666666666668,50.02333333333333,42.18563588791732
2000-03-01,1442.21,16.76,50.95,43.220748439965874
2000-04-01,1461.36,16.740000000000002,51.27333333333333,43.52857428850774
2000-05-01,1418.48,16.72,51.59666666666667,41.966050503324304
2000-06-01,1461.96,16.7,51.92,42.78197156707146
2000-07-01,1473.0,16.583333333333332,52.51333333333334,42.75809361826959
2000-08-01,1485.46,16.46666666666667,53.10666666666666,42.86956549441949
2000-09-01,1468.05,16.35,53.7,41.89800792488474
2000-10-01,1390.14,16.323333333333334,52.46666666666667,39.369699044201376
2000-11-01,1378.04,16.296666666666667,51.23333333333333,38.782142456784776
2000-12-01,1330.93,16.27,50.0,37.2742380044972
2001-01-01,1335.63,16.169999999999998,48.48,36.978867997029816
2001-02-01,1305.75,16.07,46.96,35.83466265143128
2001-03-01,1185.85,15.97,45.44,32.32583723617875
2001-04-01,1189.84,15.876666666666665,42.556666666666665,32.17390116836069
2001-05-01,1270.37,15.783333333333331,39.67333333333333,34.07464321714004
2001-06-01,1238.71,15.69,36.79,33.06853441111278
2001-07-01,1204.45,15.706666666666667,33.96333333333333,32.163038687444356
2001-08-01,1178.5,15.723333333333333,31.136666666666667,31.404318760780143
2001-09-01,1044.64,15.74,28.31,27.667392586862494
2001-10-01,1076.59,15.740000000000002,27.103333333333335,28.577373113360103
2001-11-01,1129.68,15.740000000000002,25.896666666666665,30.005103811056813
2001-12-01,1144.93,15.74,24.69,30.499953255020458
2002-01-01,1140.21,15.736666666666668,24.69333333333333,30.277204433096
2002-02-01,1100.67,15.733333333333334,24.69666666666667,29.085704152008432
2002-03-01,1153.79,15.73,24.7,30.29213064091868
2002-04-01,1111.93,15.833333333333332,25.38,29.005883253118682
2002-05-01,1079.25,15.936666666666667,26.06,28.128107508688334
2002-06-01,1014.02,16.04,26.74,26.387672541183356
2002-07-01,903.59,15.96,27.84,23.463120467431445
2002-08-01,912.55,15.879999999999999,28.939999999999998,23.588713528842376
2002-09-01,867.81,15.8,30.04,22.365036801224328
2002-10-01,854.63,15.89,29.223333333333333,21.956233863659072
2002-11-01,909.93,15.98,28.406666666666666,23.348396502725123
2002-12-01,899.18,16.07,27.59,23.101442537685635
